Date ,series ,Open,HIGH ,LOW ,PREV. CLOSE ,ltp ,Price ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Helper
13-Aug-19,EQ,"1,312.00","1,324.90","1,280.20","1,300.10","1,315.00","1,312.95","1,304.84","1,425.20","1,030.60",397956,"519,268,495.25",29077,1
14-Aug-19,EQ,"1,314.00","1,342.00","1,293.30","1,312.95","1,310.00","1,316.85","1,319.98","1,425.20","1,030.60",354090,"467,389,964.65",17295,2
16-Aug-19,EQ,"1,295.00","1,316.00","1,260.75","1,316.85","1,282.30","1,289.30","1,281.18","1,425.20","1,030.60",284592,"364,612,355.60",19707,3
19-Aug-19,EQ,"1,286.00","1,329.90","1,271.00","1,289.30","1,322.05","1,325.35","1,311.98","1,425.20","1,030.60",248666,"326,245,816.45",10330,4
20-Aug-19,EQ,"1,325.00","1,398.10","1,316.35","1,325.35","1,390.00","1,375.05","1,350.51","1,425.20","1,030.60",625207,"844,347,300.65",26041,5
21-Aug-19,EQ,"1,370.00","1,383.50","1,356.25","1,375.05","1,365.50","1,365.45","1,370.45","1,425.20","1,030.60",324167,"444,255,497.20",17958,6
22-Aug-19,EQ,"1,367.90","1,374.95","1,351.75","1,365.45","1,356.10","1,360.70","1,365.30","1,425.20","1,030.60",176916,"241,543,649.05",12021,7
23-Aug-19,EQ,"1,361.75","1,387.65","1,352.00","1,360.70","1,386.00","1,376.45","1,369.21","1,425.20","1,030.60",326476,"447,014,757.70",16214,8
26-Aug-19,EQ,"1,394.00","1,405.00","1,372.50","1,376.45","1,398.00","1,396.90","1,391.92","1,425.20","1,030.60",188165,"261,910,702.45",10902,9
27-Aug-19,EQ,"1,396.75","1,460.00","1,391.80","1,396.90","1,452.00","1,441.70","1,423.26","1,460.00","1,030.60",336804,"479,360,610.75",16351,10
28-Aug-19,EQ,"1,440.00","1,545.00","1,434.50","1,441.70","1,514.90","1,523.40","1,496.03","1,545.00","1,030.60",978369,"1,463,667,950.45",38978,11
29-Aug-19,EQ,"1,525.00","1,530.00","1,471.40","1,523.40","1,518.00","1,519.20","1,504.84","1,545.00","1,030.60",1004644,"1,511,832,253.90",31756,12
30-Aug-19,EQ,"1,455.00","1,511.85","1,444.95","1,519.20","1,490.00","1,495.55","1,474.61","1,545.00","1,030.60",852009,"1,256,381,805.80",29098,13
3-Sep-19,EQ,"1,479.00","1,511.95","1,458.40","1,495.55","1,470.00","1,467.00","1,485.47","1,545.00","1,030.60",428827,"637,010,968.80",16686,14
4-Sep-19,EQ,"1,476.00","1,488.50","1,452.95","1,467.00","1,457.20","1,462.35","1,468.58","1,545.00","1,030.60",221393,"325,134,202.35",13051,15
5-Sep-19,EQ,"1,463.00","1,468.70","1,435.10","1,462.35","1,459.00","1,459.95","1,457.82","1,545.00","1,030.60",277952,"405,203,764.10",14068,16
6-Sep-19,EQ,"1,474.40","1,474.40","1,437.80","1,459.95","1,444.20","1,448.45","1,447.12","1,545.00","1,030.60",290536,"420,439,073.05",22125,17
9-Sep-19,EQ,"1,447.00","1,456.95","1,436.00","1,448.45","1,444.00","1,445.25","1,446.31","1,545.00","1,030.60",281846,"407,635,513.40",17350,18
11-Sep-19,EQ,"1,446.00","1,455.35","1,412.70","1,445.25","1,419.00","1,419.20","1,424.80","1,545.00","1,030.60",272101,"387,690,143.70",10782,19
12-Sep-19,EQ,"1,419.10","1,432.00","1,405.10","1,419.20","1,409.80","1,410.45","1,420.08","1,545.00","1,030.60",323702,"459,683,297.65",11402,20
13-Sep-19,EQ,"1,410.60","1,426.90","1,400.15","1,410.45","1,408.30","1,411.20","1,412.60","1,545.00","1,030.60",169231,"239,055,501.10",6363,21
16-Sep-19,EQ,"1,412.50","1,414.00","1,378.45","1,411.20","1,382.00","1,382.00","1,392.80","1,545.00","1,030.60",297432,"414,262,409.25",15838,22
17-Sep-19,EQ,"1,372.10","1,392.05","1,367.45","1,382.00","1,367.75","1,371.00","1,379.55","1,545.00","1,030.60",199176,"274,772,563.85",12617,23
18-Sep-19,EQ,"1,365.10","1,391.40","1,342.80","1,371.00","1,360.10","1,362.15","1,362.51","1,545.00","1,030.60",657165,"895,394,469.90",28066,24
19-Sep-19,EQ,"1,350.40","1,388.50","1,347.50","1,362.15","1,364.95","1,369.45","1,374.77","1,545.00","1,030.60",317680,"436,736,738.65",13632,25
20-Sep-19,EQ,"1,363.00","1,413.20","1,352.85","1,369.45","1,407.35","1,401.75","1,386.74","1,545.00","1,030.60",505984,"701,666,979.75",19166,26
23-Sep-19,EQ,"1,407.35","1,429.60","1,369.20","1,401.75","1,420.00","1,410.25","1,408.58","1,545.00","1,030.60",344059,"484,633,520.40",12185,27
24-Sep-19,EQ,"1,424.00","1,453.10","1,401.00","1,410.25","1,429.00","1,429.00","1,426.89","1,545.00","1,030.60",572805,"817,328,332.80",19852,28
